fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickingPoints,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
0,0,10,0,1,1,7,18,5-13,0-0,294,180,14-29,5.3,141,34,4.1,0-0,3,2,1,19:30,,,,Virginia Tech,home,13,242410259,2004,1,regular
2,0,60,0,4,3,6,16,6-14,0-1,373,284,19-29,9.4,101,29,3.5,0-0,0,0,0,17:08,32,0,1,USC,away,24,242410259,2004,1,regular
2,0,,,,0,,12,0-0,0-0,204,137,18-33,4.8,44,31,1.4,8-63,3,2,1,18:28,,,,Indiana State,away,0,242410193,2004,1,regular
2,3,116,1,7,3,7,26,4-11,1-3,454,292,24-37,7.9,162,39,4.2,0-0,3,2,1,18:05,0,0,1,Miami (OH),home,49,242410193,2004,1,regular
3,1,,,,0,6,14,2-13,1-2,265,115,13-22,4.1,175,39,4.5,0-0,0,0,0,17:57,,,,Duke,away,12,242482426,2004,2,regular
0,3,30,0,5,1,3,23,4-10,3-4,430,134,8-9,14.3,301,57,5.3,0-0,3,3,0,18:43,,,,Navy,home,27,242482426,2004,2,regular
3,0,-4,0,1,1,4,20,4-18,2-2,337,228,19-37,5.9,118,38,3.1,0-0,3,1,2,18:34,1,0,1,Northern Illinois,away,20,242480120,2004,2,regular
1,2,22,0,2,0,11,21,5-12,0-0,367,198,12-22,7.7,198,46,4.3,0-0,4,3,1,18:15,36,0,2,Maryland,home,23,242480120,2004,2,regular
3,0,,,,,8,21,0-0,0-0,442,322,23-41,7.9,120,31,3.9,5-45,0,0,0,19:01,,,,William & Mary,away,38,242480153,2004,2,regular
0,5,47,0,5,2,7,23,10-12,0-0,575,236,14-24,9.8,341,45,7.6,0-0,4,3,1,17:39,,,,North Carolina,home,49,242480153,2004,2,regular
1,1,72,1,2,2,9,23,5-16,0-0,371,297,20-41,7.0,83,35,2.4,0-0,3,1,2,19:00,,,,Clemson,home,37,242480228,2004,2,regular
1,2,19,0,4,1,12,19,8-18,0-2,410,182,10-25,6.2,254,54,4.7,0-0,1,1,0,17:00,47,0,2,Wake Forest,away,30,242480228,2004,2,regular
1,0,,,,0,,11,0-0,0-0,167,51,10-27,2.3,104,36,2.9,9-77,3,1,2,17:32,,,,Richmond,away,0,242480152,2004,2,regular
1,2,31,1,6,2,10,24,5-13,2-2,403,237,24-32,7.2,174,37,4.7,0-0,1,1,0,20:31,3,0,2,NC State,home,42,242480152,2004,2,regular
2,0,35,0,3,0,13,21,8-21,0-0,415,245,20-34,7.1,174,50,3.5,0-0,1,0,1,24:03,31,1,1,Rutgers,home,19,242480164,2004,2,regular
0,0,23,0,4,2,2,16,2-12,0-1,360,280,22-39,6.9,90,22,4.1,0-0,3,2,1,12:17,19,0,1,Michigan State,away,14,242480164,2004,2,regular
0,2,,,,0,1,21,0-0,0-0,358,269,37-55,5.2,71,25,2.8,5-36,3,1,2,18:06,,,,Florida A&M,away,13,242480356,2004,2,regular
1,3,24,0,2,1,10,26,5-11,1-1,554,258,18-23,11.2,296,48,6.2,0-0,0,0,0,18:34,23,1,2,Illinois,home,52,242480356,2004,2,regular
1,0,0,0,1,0,,11,6-16,0-0,230,201,13-24,7.4,53,35,1.5,0-0,3,2,1,17:13,,,,UCF,away,6,242480275,2004,2,regular
