fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
0,4,30,0,3,4,46,0,2,13,43,0,1,28,10-15,2-2,606,384,31-38,10.1,222,41,5.4,1-10,1,1,0,37:56,Florida,home,61,400603830,2015,1,regular
1,1,,,,1,22,0,1,1,,,,8,1-12,2-3,200,136,15-29,4.7,64,22,2.9,1-9,1,0,1,22:04,New Mexico State,away,13,400603830,2015,1,regular
1,2,0,0,1,3,17,0,1,9,54,1,2,23,5-10,0-0,489,284,20-25,11.4,205,38,5.4,10-92,1,1,0,29:23,Ohio,away,45,400787302,2015,1,regular
1,2,-1,0,1,1,157,0,8,8,,,,25,4-14,4-5,397,297,36-48,6.2,100,28,3.6,3-30,3,1,2,30:37,Idaho,home,28,400787302,2015,1,regular
0,0,3,0,2,0,125,0,6,3,,,,8,2-14,0-0,163,103,8-23,4.5,60,29,2.1,4-50,0,0,0,20:50,Texas,away,3,400763403,2015,1,regular
0,2,-1,0,4,3,10,0,1,8,,,,30,8-14,0-0,527,313,19-23,13.6,214,52,4.1,6-39,0,0,0,39:10,Notre Dame,home,38,400763403,2015,1,regular
0,0,,,,2,62,0,4,2,,,,12,5-14,0-0,251,206,23-29,7.1,45,26,1.7,5-30,1,0,1,26:40,Louisiana Monroe,away,14,400603831,2015,1,regular
0,4,37,0,3,3,61,0,3,7,26,0,1,19,5-9,0-0,435,192,10-14,13.7,243,38,6.4,4-30,0,0,0,23:26,Georgia,home,51,400603831,2015,1,regular
0,1,23,0,2,2,52,0,4,12,,,,24,4-18,3-3,557,433,29-51,8.5,124,34,3.6,12-128,1,1,0,26:09,Bowling Green,away,30,400834350,2015,1,regular
1,6,102,0,3,2,86,0,2,11,,,,29,9-16,0-0,604,205,15-23,8.9,399,64,6.2,4-40,0,0,0,33:51,Tennessee,home,59,400834350,2015,1,regular
0,0,-1,0,1,1,,,,7,,,,20,5-13,0-2,440,232,19-31,7.5,208,33,6.3,6-30,3,0,3,24:22,North Carolina,away,13,400603840,2015,1,regular
0,1,,,,1,24,0,1,5,2,0,3,22,7-15,1-2,394,140,12-27,5.2,254,47,5.4,8-60,0,0,0,35:38,South Carolina,home,17,400603840,2015,1,regular
0,4,-2,0,2,0,77,0,4,5,1,0,1,27,7-19,3-4,479,232,26-41,5.7,247,47,5.3,7-70,4,2,2,37:05,Louisiana,away,33,400603832,2015,1,regular
2,2,16,0,1,3,127,0,4,10,0,0,2,18,5-14,1-1,435,257,16-34,7.6,178,26,6.8,4-54,1,0,1,22:55,Kentucky,home,40,400603832,2015,1,regular
1,1,,,,1,45,0,2,2,0,0,2,11,2-12,0-0,246,209,19-30,7.0,37,23,1.6,9-70,0,0,0,23:21,Western Kentucky,away,14,400603839,2015,1,regular
0,0,12,0,3,1,61,0,3,6,,,,20,7-18,2-3,385,217,18-34,6.4,168,42,4.0,5-40,3,1,2,36:39,Vanderbilt,home,12,400603839,2015,1,regular
0,0,15,0,2,2,84,0,4,5,,,,17,6-14,0-0,268,228,26-39,5.8,40,21,1.9,5-50,1,0,1,28:55,Wisconsin,away,17,400603827,2015,1,regular
0,4,25,0,4,1,35,0,3,5,41,0,1,27,4-11,1-1,502,264,22-29,9.1,238,37,6.4,11-120,0,0,0,31:05,Alabama,home,35,400603827,2015,1,regular
0,0,8,0,1,0,90,0,5,3,0,0,1,13,2-17,1-1,290,174,16-29,6.0,116,39,3.0,6-43,1,0,1,36:09,UT Martin,away,3,400603835,2015,1,regular
