rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
2,97,0,6,3,26,0,1,8,0,3,2,0,27,0,5,10,28,11-17,0-0,518,229,15-28,8.2,289,49,5.9,7-49,1,1,0,37:24,,,,UTEP,home,38,400869348,2016,1,regular
2,0,0,1,0,35,0,2,4,1,0,13,0,44,1,4,4,19,5-15,1-2,345,206,17-41,5.0,139,30,4.6,7-40,0,0,0,22:36,,,,New Mexico State,away,22,400869348,2016,1,regular
1,,,,1,65,0,3,5,1,1,2,0,37,0,1,3,19,5-17,2-3,305,195,20-36,5.4,110,38,2.9,4-30,1,0,1,36:14,0,0,1,Montana State,away,17,400869725,2016,1,regular
2,16,0,5,0,118,0,6,8,0,1,5,0,56,1,6,5,15,2-11,0-2,357,128,8-22,5.8,229,36,6.4,5-40,2,1,1,23:46,30,0,1,Idaho,home,20,400869725,2016,1,regular
5,30,0,3,2,29,0,2,8,0,,7,0,54,3,2,4,26,8-18,2-2,517,280,16-27,10.4,237,59,4.0,11-104,1,0,1,27:18,,,,Texas,home,50,400868946,2016,1,regular
1,51,0,2,5,95,0,5,9,0,,7,0,54,0,1,1,22,7-16,0-0,444,238,17-30,7.9,206,46,4.5,8-64,0,0,0,32:42,22,0,1,Notre Dame,away,47,400868946,2016,1,regular
2,20,0,2,0,170,1,6,6,1,1,6,1,44,4,0,2,16,5-13,0-1,315,156,24-40,3.9,159,19,8.4,13-101,0,0,0,21:53,,,,North Carolina,home,24,400868972,2016,1,regular
3,-2,0,3,1,24,0,1,7,0,1,4,0,36,1,0,6,25,7-14,0-0,474,185,13-20,9.3,289,52,5.6,9-70,1,1,0,38:07,,,,Georgia,away,33,400868972,2016,1,regular
1,9,0,2,0,27,0,2,1,0,1,4,0,43,1,3,5,12,1-11,1-2,187,141,9-17,8.3,46,35,1.3,7-25,0,0,0,28:01,,,,UMass,away,7,400868957,2016,1,regular
0,33,0,4,2,53,0,2,10,0,3,5,0,30,4,4,4,21,9-17,1-2,363,256,29-44,5.8,107,29,3.7,8-80,0,0,0,31:59,,,,Florida,home,24,400868957,2016,1,regular
