rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,team,home_away,points,game_id,season,week,season_type
3,2,72,0,3,6,5,0,1,0,1,9,0,34,4,0,2,29:25,3,0,3,9-54,5.5,48,264,6.8,14-26,178,442,1-2,7-16,19,,,,Florida State,home,38,401282614,2021,1,regular
1,4,,,,11,4,0,3,0,2,8,0,36,5,6,0,30:35,1,0,1,5-38,1.9,35,65,10.5,26-35,366,431,1-2,6-17,17,4,0,1,Notre Dame,away,41,401282614,2021,1,regular
0,0,18,0,1,3,3,0,1,1,2,4,0,35,1,2,3,28:31,1,0,1,7-59,0.1,23,2,4.8,19-37,178,180,0-1,5-16,14,,,,Clemson,home,3,401281946,2021,1,regular
0,0,25,0,1,4,74,1,1,0,2,8,1,27,7,2,4,31:29,1,1,2,10-94,3.9,31,121,4.5,22-30,135,256,0-0,7-15,15,13,0,2,Georgia,away,10,401281946,2021,1,regular
1,1,61,0,3,2,0,0,2,0,2,4,0,35,0,0,4,29:42,0,2,2,6-28,2.5,37,92,7.9,19-33,261,353,0-2,5-12,23,-1,0,1,Florida Atlantic,away,14,401281945,2021,1,regular
4,1,0,0,1,5,,,,2,0,6,0,35,6,8,1,30:18,2,0,2,9-91,8.7,46,400,4.4,20-35,153,553,1-2,10-16,26,50,0,3,Florida,home,35,401281945,2021,1,regular
0,0,96,0,5,6,,,,2,1,4,0,56,3,0,0,33:53,0,0,0,11-80,1.4,23,32,4.9,25-38,187,219,0-2,2-14,11,,,,Bowling Green,away,6,401281952,2021,1,regular
4,1,71,0,3,8,,,,0,2,11,0,32,2,3,6,26:07,0,2,2,5-45,5.2,64,331,6.0,12-24,144,475,1-3,7-15,31,12,0,3,Tennessee,home,38,401281952,2021,1,regular
0,0,21,0,1,,,,,1,0,5,0,45,1,2,1,25:20,2,0,2,5-41,1.4,22,31,3.5,13-22,78,109,1-1,0-9,9,,,,Eastern Illinois,away,0,401281951,2021,1,regular
1,4,3,0,1,8,66,1,2,0,1,5,1,28,2,3,1,34:40,0,1,1,8-61,5.4,47,254,6.9,18-27,185,439,3-3,7-13,22,3,0,2,South Carolina,home,46,401281951,2021,1,regular
1,0,,,,4,0,0,1,3,0,4,0,35,4,3,2,28:13,0,0,0,3-25,0.4,43,17,3.5,11-20,70,87,1-1,6-19,12,,,,Louisiana Monroe,away,10,401281947,2021,1,regular
2,4,28,0,2,9,,,,0,5,14,0,37,6,2,2,31:47,1,2,3,7-65,4.3,34,145,12.7,22-33,419,564,0-1,6-11,24,9,0,3,Kentucky,home,45,401281947,2021,1,regular
0,1,,,,11,95,0,2,2,0,4,0,41,2,3,5,32:47,0,0,0,7-75,4.8,37,179,6.1,13-22,135,314,0-1,6-15,13,,,,East Tennessee State,away,23,401282054,2021,1,regular
0,0,51,0,3,3,,,,0,1,4,0,36,0,2,4,27:13,2,1,3,8-70,2.7,31,85,5.4,24-44,236,321,1-2,5-15,23,,,,Vanderbilt,home,3,401282054,2021,1,regular
0,1,,,,7,,,,1,1,10,0,35,1,0,1,22:58,2,1,3,7-75,2.8,31,87,5.8,23-31,179,266,1-2,6-14,18,,,,Miami,home,13,401281942,2021,1,regular
1,4,17,0,1,14,12,0,2,1,2,7,0,25,4,0,4,37:02,0,1,1,8-81,3.9,38,147,9.1,28-39,354,501,0-1,10-16,28,20,0,3,Alabama,away,44,401281942,2021,1,regular
2,1,179,0,8,6,,,,0,1,4,0,45,2,0,3,35:52,1,1,2,9-74,4.0,39,155,5.3,23-38,200,355,3-5,6-16,22,1,0,1,Louisville,away,24,401282055,2021,1,regular
4,1,11,0,1,13,15,0,1,1,0,7,0,48,2,0,1,24:08,0,0,0,14-125,4.6,41,188,11.9,22-32,381,569,3-3,2-9,31,,,,Ole Miss,home,43,401282055,2021,1,regular
1,2,18,0,1,10,35,1,1,4,1,5,1,37,3,2,0,25:06,1,1,2,7-36,4.0,25,101,7.2,21-37,268,369,1-1,4-15,14,24,0,3,Louisiana Tech,away,34,401281949,2021,1,regular
2,3,144,0,4,5,0,0,1,1,3,4,0,24,1,3,4,34:54,1,3,4,12-96,3.4,19,65,7.9,39-47,370,435,0-0,2-8,22,0,0,1,Mississippi State,home,35,401281949,2021,1,regular
1,1,16,0,1,5,0,0,1,0,1,3,0,30,2,2,1,33:54,3,0,3,10-60,2.1,39,81,6.7,17-34,227,308,1-2,4-15,19,19,0,2,Rice,away,17,401281943,2021,1,regular
4,1,108,0,4,8,88,0,3,0,2,6.5,0,24,2,5,3,26:06,1,0,1,13-117,5.6,44,245,6.1,12-21,128,373,0-1,3-11,18,4,0,1,Arkansas,home,38,401281943,2021,1,regular
0,1,46,0,4,4,,,,0,4,2,0,38,0,1,0,35:42,0,0,0,5-35,-0.1,36,-3,7.1,22-27,191,188,2-5,3-14,12,1,0,1,Akron,away,10,401281944,2021,1,regular
5,3,61,0,3,10,,,,0,,12,0,42,7,1,1,24:18,0,0,0,3-25,9.9,32,316,11.0,22-27,297,613,0-0,4-6,28,30,0,2,Auburn,home,60,401281944,2021,1,regular
2,3,52,0,2,8,34,0,1,0,,4,0,43,2,3,5,30:06,1,0,1,8-73,4.5,47,210,16.3,9-16,260,470,0-0,7-13,19,,,,UCLA,home,38,401281948,2021,1,regular
0,3,23,0,1,9,0,0,1,0,3,9,0,42,4,0,2,29:54,1,0,1,2-10,1.9,25,48,7.2,26-46,330,378,1-1,6-15,24,18,0,3,LSU,away,27,401281948,2021,1,regular
3,4,61,0,3,7,,,,0,1,5,0,32,2,6,5,25:45,2,1,3,6-45,8.0,31,247,11.3,20-26,295,542,1-1,3-6,27,-1,0,1,Cincinnati,home,49,401300996,2021,1,regular
1,0,48,0,3,2,32,1,2,0,1,5,1,30,2,0,0,34:15,0,0,0,13-100,3.8,45,169,3.9,9-28,109,278,1-5,3-15,17,,,,Miami (OH),away,14,401300996,2021,1,regular
3,0,92,0,5,9,23,0,1,0,,5,0,30,0,3,2,28:23,0,0,0,4-39,6.4,44,283,5.6,12-18,100,383,0-0,8-12,21,32,0,1,Syracuse,away,29,401282611,2021,1,regular
0,0,83,0,6,9,,,,0,1,2,0,27,1,1,0,31:37,1,0,1,0-0,4.2,32,134,6.8,23-31,212,346,1-2,5-12,20,,,,Ohio,home,9,401282611,2021,1,regular
2,2,0,0,1,11,85,1,2,0,1,9,1,42,5,1,4,35:10,4,1,5,6-70,7.2,42,303,8.6,21-34,292,595,0-1,9-13,29,11,0,4,Texas A&M,home,41,401282053,2021,1,regular
1,0,90,0,4,4,68,0,4,1,0,5,0,35,2,1,3,24:50,2,0,2,2-10,5.0,45,226,3.7,14-30,110,336,0-0,7-18,19,,,,Kent State,away,10,401282053,2021,1,regular
0,1,58,0,5,4,,,,0,1,5,0,29,3,0,1,33:23,1,1,2,4-35,3.5,42,147,6.9,8-18,125,272,1-2,5-15,14,,,,Norfolk State,away,10,401309543,2021,1,regular
4,1,30,0,2,7,9,0,1,1,0,8,2,34,1,0,4,29:58,0,0,0,12-140,5.3,39,205,13.1,13-18,236,441,1-3,4-9,21,78,3,5,Toledo,home,49,401309543,2021,1,regular
3,3,99,0,2,11,,,,0,1,3,0,42,1,6,6,28:09,0,0,0,5-48,7.8,43,335,12.7,13-17,216,551,1-1,8-13,22,31,0,1,Michigan,home,47,401282772,2021,1,regular
1,1,20,0,2,2,,,,0,1,2,0,41,1,0,2,31:51,0,0,0,3-30,3.9,32,126,5.2,20-37,191,317,0-0,8-17,17,,,,Western Michigan,away,14,401282772,2021,1,regular
1,2,30,0,2,3,,,,1,0,1,0,38,0,2,3,31:02,1,0,1,7-73,2.9,24,70,8.5,30-43,367,437,0-2,3-13,17,,,,Western Illinois,away,21,401309540,2021,1,regular
