id,school,season,team_id
2005,Air Force,2014,Air Force 2014
2006,Akron,2014,Akron 2014
333,Alabama,2014,Alabama 2014
2026,Appalachian State,2014,Appalachian State 2014
12,Arizona,2014,Arizona 2014
9,Arizona State,2014,Arizona State 2014
8,Arkansas,2014,Arkansas 2014
2032,Arkansas State,2014,Arkansas State 2014
349,Army,2014,Army 2014
2,Auburn,2014,Auburn 2014
2050,Ball State,2014,Ball State 2014
239,Baylor,2014,Baylor 2014
68,Boise State,2014,Boise State 2014
103,Boston College,2014,Boston College 2014
189,Bowling Green,2014,Bowling Green 2014
2084,Buffalo,2014,Buffalo 2014
252,BYU,2014,BYU 2014
25,California,2014,California 2014
2117,Central Michigan,2014,Central Michigan 2014
2132,Cincinnati,2014,Cincinnati 2014
228,Clemson,2014,Clemson 2014
38,Colorado,2014,Colorado 2014
36,Colorado State,2014,Colorado State 2014
41,Connecticut,2014,Connecticut 2014
150,Duke,2014,Duke 2014
151,East Carolina,2014,East Carolina 2014
2199,Eastern Michigan,2014,Eastern Michigan 2014
57,Florida,2014,Florida 2014
2226,Florida Atlantic,2014,Florida Atlantic 2014
2229,Florida International,2014,Florida International 2014
52,Florida State,2014,Florida State 2014
278,Fresno State,2014,Fresno State 2014
61,Georgia,2014,Georgia 2014
290,Georgia Southern,2014,Georgia Southern 2014
2247,Georgia State,2014,Georgia State 2014
59,Georgia Tech,2014,Georgia Tech 2014
62,Hawai'i,2014,Hawai'i 2014
248,Houston,2014,Houston 2014
70,Idaho,2014,Idaho 2014
356,Illinois,2014,Illinois 2014
84,Indiana,2014,Indiana 2014
2294,Iowa,2014,Iowa 2014
66,Iowa State,2014,Iowa State 2014
2305,Kansas,2014,Kansas 2014
2306,Kansas State,2014,Kansas State 2014
2309,Kent State,2014,Kent State 2014
96,Kentucky,2014,Kentucky 2014
309,Louisiana,2014,Louisiana 2014
2433,Louisiana Monroe,2014,Louisiana Monroe 2014
2348,Louisiana Tech,2014,Louisiana Tech 2014
97,Louisville,2014,Louisville 2014
99,LSU,2014,LSU 2014
276,Marshall,2014,Marshall 2014
120,Maryland,2014,Maryland 2014
235,Memphis,2014,Memphis 2014
2390,Miami,2014,Miami 2014
193,Miami (OH),2014,Miami (OH) 2014
130,Michigan,2014,Michigan 2014
127,Michigan State,2014,Michigan State 2014
2393,Middle Tennessee,2014,Middle Tennessee 2014
135,Minnesota,2014,Minnesota 2014
344,Mississippi State,2014,Mississippi State 2014
142,Missouri,2014,Missouri 2014
2426,Navy,2014,Navy 2014
152,NC State,2014,NC State 2014
158,Nebraska,2014,Nebraska 2014
2440,Nevada,2014,Nevada 2014
167,New Mexico,2014,New Mexico 2014
166,New Mexico State,2014,New Mexico State 2014
153,North Carolina,2014,North Carolina 2014
2459,Northern Illinois,2014,Northern Illinois 2014
249,North Texas,2014,North Texas 2014
77,Northwestern,2014,Northwestern 2014
87,Notre Dame,2014,Notre Dame 2014
195,Ohio,2014,Ohio 2014
194,Ohio State,2014,Ohio State 2014
201,Oklahoma,2014,Oklahoma 2014
197,Oklahoma State,2014,Oklahoma State 2014
295,Old Dominion,2014,Old Dominion 2014
145,Ole Miss,2014,Ole Miss 2014
2483,Oregon,2014,Oregon 2014
204,Oregon State,2014,Oregon State 2014
213,Penn State,2014,Penn State 2014
221,Pittsburgh,2014,Pittsburgh 2014
2509,Purdue,2014,Purdue 2014
242,Rice,2014,Rice 2014
164,Rutgers,2014,Rutgers 2014
21,San Diego State,2014,San Diego State 2014
23,San José State,2014,San José State 2014
2567,SMU,2014,SMU 2014
6,South Alabama,2014,South Alabama 2014
2579,South Carolina,2014,South Carolina 2014
2572,Southern Mississippi,2014,Southern Mississippi 2014
58,South Florida,2014,South Florida 2014
24,Stanford,2014,Stanford 2014
183,Syracuse,2014,Syracuse 2014
2628,TCU,2014,TCU 2014
218,Temple,2014,Temple 2014
2633,Tennessee,2014,Tennessee 2014
251,Texas,2014,Texas 2014
245,Texas A&M,2014,Texas A&M 2014
326,Texas State,2014,Texas State 2014
2641,Texas Tech,2014,Texas Tech 2014
2649,Toledo,2014,Toledo 2014
2653,Troy,2014,Troy 2014
2655,Tulane,2014,Tulane 2014
202,Tulsa,2014,Tulsa 2014
5,UAB,2014,UAB 2014
2116,UCF,2014,UCF 2014
26,UCLA,2014,UCLA 2014
113,UMass,2014,UMass 2014
2439,UNLV,2014,UNLV 2014
30,USC,2014,USC 2014
254,Utah,2014,Utah 2014
328,Utah State,2014,Utah State 2014
2638,UTEP,2014,UTEP 2014
2636,UT San Antonio,2014,UT San Antonio 2014
238,Vanderbilt,2014,Vanderbilt 2014
258,Virginia,2014,Virginia 2014
259,Virginia Tech,2014,Virginia Tech 2014
154,Wake Forest,2014,Wake Forest 2014
264,Washington,2014,Washington 2014
265,Washington State,2014,Washington State 2014
98,Western Kentucky,2014,Western Kentucky 2014
2711,Western Michigan,2014,Western Michigan 2014
277,West Virginia,2014,West Virginia 2014
275,Wisconsin,2014,Wisconsin 2014
2751,Wyoming,2014,Wyoming 2014
2005,Air Force,2015,Air Force 2015
2006,Akron,2015,Akron 2015
333,Alabama,2015,Alabama 2015
2026,Appalachian State,2015,Appalachian State 2015
12,Arizona,2015,Arizona 2015
9,Arizona State,2015,Arizona State 2015
8,Arkansas,2015,Arkansas 2015
2032,Arkansas State,2015,Arkansas State 2015
349,Army,2015,Army 2015
2,Auburn,2015,Auburn 2015
2050,Ball State,2015,Ball State 2015
239,Baylor,2015,Baylor 2015
68,Boise State,2015,Boise State 2015
103,Boston College,2015,Boston College 2015
189,Bowling Green,2015,Bowling Green 2015
2084,Buffalo,2015,Buffalo 2015
252,BYU,2015,BYU 2015
25,California,2015,California 2015
2117,Central Michigan,2015,Central Michigan 2015
2429,Charlotte,2015,Charlotte 2015
2132,Cincinnati,2015,Cincinnati 2015
228,Clemson,2015,Clemson 2015
38,Colorado,2015,Colorado 2015
36,Colorado State,2015,Colorado State 2015
41,Connecticut,2015,Connecticut 2015
150,Duke,2015,Duke 2015
151,East Carolina,2015,East Carolina 2015
2199,Eastern Michigan,2015,Eastern Michigan 2015
57,Florida,2015,Florida 2015
2226,Florida Atlantic,2015,Florida Atlantic 2015
2229,Florida International,2015,Florida International 2015
52,Florida State,2015,Florida State 2015
278,Fresno State,2015,Fresno State 2015
61,Georgia,2015,Georgia 2015
290,Georgia Southern,2015,Georgia Southern 2015
2247,Georgia State,2015,Georgia State 2015
59,Georgia Tech,2015,Georgia Tech 2015
62,Hawai'i,2015,Hawai'i 2015
248,Houston,2015,Houston 2015
70,Idaho,2015,Idaho 2015
356,Illinois,2015,Illinois 2015
84,Indiana,2015,Indiana 2015
2294,Iowa,2015,Iowa 2015
66,Iowa State,2015,Iowa State 2015
2305,Kansas,2015,Kansas 2015
2306,Kansas State,2015,Kansas State 2015
2309,Kent State,2015,Kent State 2015
96,Kentucky,2015,Kentucky 2015
309,Louisiana,2015,Louisiana 2015
2433,Louisiana Monroe,2015,Louisiana Monroe 2015
2348,Louisiana Tech,2015,Louisiana Tech 2015
97,Louisville,2015,Louisville 2015
99,LSU,2015,LSU 2015
276,Marshall,2015,Marshall 2015
120,Maryland,2015,Maryland 2015
235,Memphis,2015,Memphis 2015
2390,Miami,2015,Miami 2015
193,Miami (OH),2015,Miami (OH) 2015
130,Michigan,2015,Michigan 2015
127,Michigan State,2015,Michigan State 2015
2393,Middle Tennessee,2015,Middle Tennessee 2015
135,Minnesota,2015,Minnesota 2015
344,Mississippi State,2015,Mississippi State 2015
142,Missouri,2015,Missouri 2015
2426,Navy,2015,Navy 2015
152,NC State,2015,NC State 2015
158,Nebraska,2015,Nebraska 2015
2440,Nevada,2015,Nevada 2015
167,New Mexico,2015,New Mexico 2015
166,New Mexico State,2015,New Mexico State 2015
153,North Carolina,2015,North Carolina 2015
2459,Northern Illinois,2015,Northern Illinois 2015
249,North Texas,2015,North Texas 2015
77,Northwestern,2015,Northwestern 2015
87,Notre Dame,2015,Notre Dame 2015
195,Ohio,2015,Ohio 2015
194,Ohio State,2015,Ohio State 2015
201,Oklahoma,2015,Oklahoma 2015
197,Oklahoma State,2015,Oklahoma State 2015
295,Old Dominion,2015,Old Dominion 2015
145,Ole Miss,2015,Ole Miss 2015
2483,Oregon,2015,Oregon 2015
204,Oregon State,2015,Oregon State 2015
213,Penn State,2015,Penn State 2015
221,Pittsburgh,2015,Pittsburgh 2015
2509,Purdue,2015,Purdue 2015
242,Rice,2015,Rice 2015
164,Rutgers,2015,Rutgers 2015
21,San Diego State,2015,San Diego State 2015
23,San José State,2015,San José State 2015
2567,SMU,2015,SMU 2015
6,South Alabama,2015,South Alabama 2015
2579,South Carolina,2015,South Carolina 2015
2572,Southern Mississippi,2015,Southern Mississippi 2015
58,South Florida,2015,South Florida 2015
24,Stanford,2015,Stanford 2015
183,Syracuse,2015,Syracuse 2015
2628,TCU,2015,TCU 2015
218,Temple,2015,Temple 2015
2633,Tennessee,2015,Tennessee 2015
251,Texas,2015,Texas 2015
245,Texas A&M,2015,Texas A&M 2015
326,Texas State,2015,Texas State 2015
2641,Texas Tech,2015,Texas Tech 2015
2649,Toledo,2015,Toledo 2015
2653,Troy,2015,Troy 2015
2655,Tulane,2015,Tulane 2015
202,Tulsa,2015,Tulsa 2015
2116,UCF,2015,UCF 2015
26,UCLA,2015,UCLA 2015
113,UMass,2015,UMass 2015
2439,UNLV,2015,UNLV 2015
30,USC,2015,USC 2015
254,Utah,2015,Utah 2015
328,Utah State,2015,Utah State 2015
2638,UTEP,2015,UTEP 2015
2636,UT San Antonio,2015,UT San Antonio 2015
238,Vanderbilt,2015,Vanderbilt 2015
258,Virginia,2015,Virginia 2015
259,Virginia Tech,2015,Virginia Tech 2015
154,Wake Forest,2015,Wake Forest 2015
264,Washington,2015,Washington 2015
265,Washington State,2015,Washington State 2015
98,Western Kentucky,2015,Western Kentucky 2015
2711,Western Michigan,2015,Western Michigan 2015
277,West Virginia,2015,West Virginia 2015
275,Wisconsin,2015,Wisconsin 2015
2751,Wyoming,2015,Wyoming 2015
2005,Air Force,2016,Air Force 2016
2006,Akron,2016,Akron 2016
333,Alabama,2016,Alabama 2016
2026,Appalachian State,2016,Appalachian State 2016
12,Arizona,2016,Arizona 2016
9,Arizona State,2016,Arizona State 2016
8,Arkansas,2016,Arkansas 2016
2032,Arkansas State,2016,Arkansas State 2016
349,Army,2016,Army 2016
2,Auburn,2016,Auburn 2016
2050,Ball State,2016,Ball State 2016
239,Baylor,2016,Baylor 2016
68,Boise State,2016,Boise State 2016
103,Boston College,2016,Boston College 2016
189,Bowling Green,2016,Bowling Green 2016
2084,Buffalo,2016,Buffalo 2016
252,BYU,2016,BYU 2016
25,California,2016,California 2016
2117,Central Michigan,2016,Central Michigan 2016
2429,Charlotte,2016,Charlotte 2016
2132,Cincinnati,2016,Cincinnati 2016
228,Clemson,2016,Clemson 2016
38,Colorado,2016,Colorado 2016
36,Colorado State,2016,Colorado State 2016
41,Connecticut,2016,Connecticut 2016
150,Duke,2016,Duke 2016
