rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
2,6,0,2,2,51,0,1,7,49,1,2,0,1,8,1,56,6,0,3,19,5-15,1-1,400,321,24-30,10.7,79,40,2.0,1-10,0,0,0,29:40,Arizona State,home,37,400935247,2017,1,regular
2,0,0,1,3,27,0,1,1,,,,0,1,14,0,64,7,0,0,27,11-18,0-1,549,398,40-58,6.9,151,30,5.0,6-59,2,0,2,30:20,New Mexico State,away,31,400935247,2017,1,regular
0,12,0,3,0,77,0,3,6,0,0,2,2,1,8,0,45,4,0,1,8,1-15,0-1,190,95,10-25,3.8,95,35,2.7,1-2,0,0,0,29:06,Sacramento State,away,6,400944827,2017,1,regular
2,23,0,3,2,,,,4,,,,0,2,6,0,37,4,0,2,15,2-11,2-3,360,163,14-19,8.6,197,44,4.5,3-20,3,1,2,30:54,Idaho,home,28,400944827,2017,1,regular
0,2,0,2,2,142,0,6,4,43,0,1,0,1,4,0,37,2,6,3,18,5-17,0-2,330,245,19-35,7.0,85,37,2.3,6-42,1,1,0,33:49,Temple,away,16,400934573,2017,1,regular
5,0,0,1,2,48,0,2,7,,,,1,0,11,0,44,3,4,3,26,6-13,1-2,606,184,17-30,6.1,422,44,9.6,4-20,1,0,1,26:11,Notre Dame,home,49,400934573,2017,1,regular
1,,,,0,15,0,1,4,26,0,2,0,1,6,0,28,1,0,3,12,7-18,0-1,284,148,21-32,4.6,136,32,4.3,11-105,0,0,0,31:04,Appalachian State,away,10,400933831,2017,1,regular
3,6,0,2,1,42,0,2,7,,,,0,,7,0,33,1,0,1,18,5-14,1-1,368,147,11-20,7.3,221,44,5.0,8-46,2,0,2,28:56,Georgia,home,31,400933831,2017,1,regular
1,40,0,5,1,,,,15,,,,3,0,11,0,32,6,5,6,19,6-18,1-1,433,218,12-26,8.4,215,49,4.4,7-55,2,0,2,34:13,Michigan,away,33,400933830,2017,1,regular
0,,,,0,71,0,4,5,89,2,2,0,5,11,2,54,5,4,0,9,2-13,1-2,192,181,14-26,7.0,11,27,0.4,5-45,3,3,0,25:47,Florida,home,17,400933830,2017,1,regular
6,7,0,2,0,30,0,2,5,,,,0,3,1,0,21,0,0,3,33,13-18,0-0,655,120,5-10,12.0,535,86,6.2,4-37,2,2,0,41:27,Georgia Tech,home,41,400933840,2017,1,regular
4,,,,2,109,0,4,6,,,,2,0,1,0,45,0,0,1,18,5-12,0-1,369,221,20-37,6.0,148,22,6.7,2-20,0,0,0,18:33,Tennessee,away,42,400933840,2017,1,regular
2,40,0,3,2,39,0,2,4,0,0,1,0,2,7,0,21,3,2,3,29,9-20,2-4,504,415,45-64,6.5,89,35,2.5,8-65,2,2,0,36:54,NC State,away,28,400933837,2017,1,regular
1,26,0,3,3,141,1,4,5,,,,2,0,11,1,48,4,5,4,12,5-12,0-0,246,215,17-29,7.4,31,21,1.5,6-45,1,0,1,23:06,South Carolina,home,35,400933837,2017,1,regular
0,7,0,1,2,35,0,2,5,,,,0,4,5,0,29,1,0,3,19,4-17,2-4,364,309,22-40,7.7,55,38,1.4,8-69,3,3,0,30:59,Southern Mississippi,home,17,400933832,2017,1,regular
1,,,,1,78,0,3,6,,,,0,1,8,0,35,2,1,1,12,3-13,0-0,254,176,11-20,8.8,78,35,2.2,8-60,1,1,0,29:01,Kentucky,away,24,400933832,2017,1,regular
0,20,0,3,1,,,,0,,,,0,1,5,0,43,1,1,4,14,0-12,0-2,215,166,18-31,5.4,49,26,1.9,4-14,1,0,1,23:27,Middle Tennessee,home,6,400933839,2017,1,regular
1,,,,3,,,,4,28,0,1,0,1,10,0,40,5,4,7,15,8-16,0-0,367,296,20-28,10.6,71,35,2.0,6-69,0,0,0,36:33,Vanderbilt,away,28,400933839,2017,1,regular
0,,,,1,20,0,2,1,,,,0,1,4,0,26,2,0,1,15,4-13,0-1,250,210,19-33,6.4,40,27,1.5,4-30,3,1,2,27:13,Florida State,away,7,400933827,2017,1,regular
1,19,0,1,1,15,0,1,10,0,0,2,1,,9,0,30,3,0,6,13,3-16,2-2,269,96,10-18,5.3,173,42,4.1,5-30,0,0,0,32:47,Alabama,home,24,400933827,2017,1,regular
2,0,0,1,1,16,0,2,9,,,,1,1,3,0,41,2,0,2,25,1-10,1-2,374,204,19-31,6.6,170,37,4.6,3-22,0,0,0,31:51,South Alabama,away,27,400933834,2017,1,regular
1,7,0,2,4,164,1,3,11,,,,0,1,6,1,36,1,1,4,23,6-11,1-1,531,429,28-35,12.3,102,29,3.5,7-45,1,1,0,28:09,Ole Miss,home,47,400933834,2017,1,regular
0,,,,0,63,0,4,,,,,0,3,5,0,34,0,6,5,2,2-14,0-0,33,15,3-8,1.9,18,39,0.5,4-30,0,0,0,27:35,Charleston Southern,away,0,400933835,2017,1,regular
3,22,0,3,3,75,0,2,9,,,,0,,9,0,23,1,2,1,29,6-15,1-1,555,274,20-36,7.6,281,50,5.6,7-60,0,0,0,32:25,Mississippi State,home,49,400933835,2017,1,regular
0,,,,1,39,0,3,1,0,0,1,0,1,5,0,30,2,1,1,9,3-16,3-4,175,95,14-29,3.3,80,31,2.6,7-55,1,1,0,25:30,Florida A&M,away,7,400933828,2017,1,regular
4,,,,2,37,0,2,7,,,,1,0,6,0,30,3,2,2,26,7-10,0-0,415,179,16-22,8.1,236,45,5.2,2-20,1,0,1,34:30,Arkansas,home,49,400933828,2017,1,regular
0,,,,0,15,0,1,1,0,0,1,2,0,8,0,39,3,11,3,8,0-15,1-2,78,8,4-9,0.9,70,47,1.5,3-15,1,0,1,29:28,Georgia Southern,away,7,400933829,2017,1,regular
3,6,0,1,2,29,0,1,11,0,0,1,0,4,12,0,34,5,5,1,25,6-16,2-3,535,184,15-26,7.1,351,53,6.6,4-42,3,2,1,30:32,Auburn,home,41,400933829,2017,1,regular
0,,,,0,96,0,5,,,,,0,,4,0,42,0,1,1,6,2-10,0-1,97,102,12-24,4.3,-5,14,-0.4,5-39,1,0,1,18:06,BYU,away,0,400933833,2017,1,regular
