rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,sacks,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,qbHurries,passesDeflected,team,home_away,points,game_id,season,week,season_type
7,41,0,8,3,0,0,1,19,25,0,1,0,6,14,32:56,0,1,1,3-30,7.4,45,331,9.2,25-37,342,673,2-3,1-8,35,11,0,32,0,5,Penn State,home,79,401112257,2019,1,regular
0,,,,1,,,,1,,,,2,0,0,27:04,1,0,1,10-67,0.1,28,4,5.4,16-26,141,145,0-2,1-15,5,12,0,96,1,8,Idaho,away,7,401112257,2019,1,regular
2,,,,0,59,0,3,5,,,,2,10,6,32:00,0,3,3,8-50,5.3,47,249,4.8,12-28,134,383,1-2,6-15,21,12,0,88,8,4,Louisville,home,17,401112436,2019,1,regular
4,-2,0,1,1,16,0,3,5,,,,6,4,8,28:00,0,1,1,4-20,5.5,42,230,8.4,14-23,193,423,0-1,5-12,18,22,0,49,6,10,Notre Dame,away,35,401112436,2019,1,regular
0,,,,0,35,0,2,6,,,,0,2,0,25:59,0,1,1,10-63,3.9,30,116,3.4,16-32,109,225,1-2,3-14,17,4,0,72,4,3,Vanderbilt,home,6,401110732,2019,1,regular
2,61,0,4,1,41,0,2,12,,,,0,4,4,34:01,0,1,1,10-115,8.1,40,323,6.8,15-23,156,479,0-1,1-7,25,6,0,66,4,2,Georgia,away,30,401110732,2019,1,regular
1,-1,0,1,1,32,0,1,8,41,0,2,4,6,2,36:13,0,1,1,14-118,2.4,36,87,7.1,19-30,214,301,0-2,2-14,20,6,0,52,3,2,Miami,away,20,401110723,2019,1,regular
1,19,0,3,2,44,0,2,6,,,,2,4,20,23:47,2,2,4,9-100,1.8,28,50,9.4,17-27,254,304,4-4,2-10,17,16,0,82,5,4,Florida,home,24,401110723,2019,1,regular
3,,,,2,,,,8,0,0,1,0,2,4,30:34,0,1,1,5-31,4.0,53,213,5.8,11-24,139,352,1-2,10-17,24,6,0,76,4,4,Georgia State,away,38,401110730,2019,1,regular
1,35,0,2,2,72,0,3,12,,,,0,8,4,29:26,1,2,3,3-24,3.0,31,93,7.8,26-40,311,404,0-2,8-13,21,12,0,70,3,3,Tennessee,home,30,401110730,2019,1,regular
0,15,0,1,2,13,0,1,10,33,0,2,0,4,3,33:42,0,1,1,10-90,4.6,52,238,10.2,15-24,245,483,1-2,5-16,23,7,0,60,8,2,North Carolina,home,24,401110729,2019,1,regular
1,66,0,3,1,100,0,3,8,,,,2,0,6,26:18,2,0,2,9-75,4.1,31,128,4.7,16-30,142,270,0-0,3-13,15,6,0,36,2,4,South Carolina,away,20,401110729,2019,1,regular
3,6,0,3,0,59,0,2,6,,,,4,2,1,29:15,1,1,2,11-80,4.6,39,181,6.6,11-25,166,347,0-0,7-16,15,14,0,41,2,1,Toledo,away,24,401110724,2019,1,regular
