tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,fumblesRecovered,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,puntReturnYards,puntReturnTDs,puntReturns,team,home_away,points,game_id,season,week,season_type,totalFumbles
2,0,38,0,1,1,0,0,0,82,0,5,24:31,2,2,4,5-53,3.1,24,75,4.5,16-24,109,184,2-2,3-9,13,,,,,,,,Middle Tennessee,away,0,401235700,2020,1,regular,
6,1,31,1,3,2,2,5,0,15,0,1,35:29,0,0,0,7-74,5.5,62,340,7.0,2-4,28,368,1-1,13-15,24,6,43,1,2,,,,Army,home,42,401235700,2020,1,regular,
5,0,38,1,2,3,1,1,1,39,0,3,23:13,1,1,2,5-45,4.2,23,97,6.3,14-21,133,230,1-1,3-8,14,2,0,0,1,,,,Stephen F. Austin,away,14,401239884,2020,1,regular,
5,0,25,1,3,0,1,2,1,19,0,2,36:47,1,1,2,4-40,4.1,37,152,7.6,17-28,212,364,1-2,8-13,19,6,0,0,1,,,,UTEP,home,24,401239884,2020,1,regular,
4,0,33,0,1,1,0,0,0,20,0,1,22:40,0,1,1,6-54,3.1,39,119,3.8,4-8,30,149,0-2,2-12,7,3,9,0,1,12,0,1,Navy,home,3,401234576,2020,1,regular,
8,0,32,5,3,2,1,5,2,38,0,2,37:20,1,0,1,1-5,6.1,49,301,12.7,16-22,279,580,1-2,6-11,28,13,,,,-2,0,1,BYU,away,55,401234576,2020,1,regular,
1,0,41,0,1,4,0,1,3,63,0,5,31:41,0,0,0,9-78,3.7,24,89,7.7,39-62,480,569,1-2,8-18,28,7,0,0,1,0,0,1,Houston Christian,away,31,401207098,2020,1,regular,
5,0,38,1,4,2,0,4,4,,,,22:43,1,0,1,6-48,6.9,52,360,10.6,21-34,361,721,3-3,11-17,33,9,,,,5,0,2,North Texas,home,57,401207098,2020,1,regular,
5,0,49,0,0,1,0,2,1,38,0,2,25:27,2,1,3,5-50,3.6,35,125,6.8,28-44,299,424,2-3,6-15,25,6,0,0,1,,,,Arkansas State,away,24,401212553,2020,1,regular,
5,0,49,3,4,5,1,1,4,24,0,2,33:48,1,0,1,12-102,4.7,47,223,7.6,26-36,275,498,1-1,9-17,29,7,0,0,2,,,,Memphis,home,37,401212553,2020,1,regular,
