rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,team,home_away,points,game_id,season,week,season_type
1,1,82,0,4,5,0,0,1,1,1,29:44,1,0,1,5-35,2.3,31,71,5.0,15-24,119,190,0-0,6-13,16,,,,,,,,,,Lamar,home,17,401540244,2023,1,regular
2,4,0,0,1,4,13,0,1,0,3,30:16,1,1,2,8-101,7.6,36,273,10.7,16-21,224,497,0-0,6-9,20,26,0,3,,,,,,,Idaho,away,42,401540244,2023,1,regular
0,0,12,0,1,3,,,,0,3,33:14,0,0,0,3-26,2.6,48,126,6.1,3-7,43,169,3-4,4-14,12,,,,2,0,42,0,1,2,Navy,away,3,401525434,2023,1,regular
2,4,41,0,2,6,,,,0,2,26:46,0,0,0,1-10,6.0,32,191,10.1,20-25,253,444,1-1,5-7,27,11,0,1,5,0,41,2,2,0,Notre Dame,home,42,401525434,2023,1,regular
0,0,76,0,2,3,,,,1,1,26:16,2,0,2,5-45,2.6,35,91,3.0,8-22,67,158,1-1,4-14,12,,,,6,0,45,0,1,1,Tennessee State,away,3,401525435,2023,1,regular
3,4,8,0,1,8,33,1,2,0,1,33:44,0,1,1,4-36,6.7,33,221,11.2,24-30,336,557,0-0,9-11,26,27,0,3,5,1,32,1,10,4,Notre Dame,home,56,401525435,2023,1,regular
0,1,7,0,1,1,,,,0,1,29:35,1,0,1,10-72,4.6,29,134,3.9,18-33,128,262,1-1,2-14,15,,,,4,0,45,0,0,3,UT Martin,away,7,401520154,2023,1,regular
3,2,31,0,1,12,26,1,1,0,1,30:25,0,0,0,5-42,5.3,30,159,10.3,26-39,400,559,0-0,5-12,28,19,0,2,4,1,28,1,0,2,Georgia,home,48,401520154,2023,1,regular
2,1,16,0,1,6,2,0,1,0,1,28:08,0,0,0,5-37,3.5,30,105,7.2,15-23,165,270,0-0,3-13,14,5,0,3,7,0,37,5,0,4,Utah,home,24,401520176,2023,1,regular
0,1,47,0,2,3,,,,0,1,31:52,1,0,1,9-46,0.6,21,13,7.6,31-44,333,346,2-5,1-13,17,5,0,2,4,0,29,0,2,2,Florida,away,11,401520176,2023,1,regular
1,0,21,0,1,7,,,,1,0,32:54,0,0,0,2-10,2.4,40,95,4.4,11-24,106,201,0-1,5-18,12,,,,1,0,54,1,0,5,Virginia,away,13,401520179,2023,1,regular
5,2,34,0,1,7,,,,0,1,27:06,0,1,1,4-35,5.5,52,287,6.4,23-33,212,499,2-3,5-13,29,105,0,3,11,0,32,4,2,5,Tennessee,home,49,401520179,2023,1,regular
2,2,16,0,1,7,,,,0,,32:37,2,0,2,7-49,4.3,39,168,8.4,24-32,269,437,1-2,8-13,21,,,,16,0,46,9,0,1,North Carolina,home,31,401520167,2023,1,regular
2,0,43,0,2,5,22,0,2,0,,27:23,0,0,0,6-35,-0.1,31,-2,9.1,30-39,353,351,0-4,4-14,20,,,,1,0,32,0,2,1,South Carolina,away,17,401520167,2023,1,regular
