team_id,record_string
Auburn 2014,8-5
UAB 2014,6-6
South Alabama 2014,6-7
Arkansas 2014,7-6
Arizona State 2014,10-3
Arizona 2014,10-4
San Diego State 2014,7-6
San José State 2014,3-9
Stanford 2014,8-5
California 2014,5-7
UCLA 2014,10-3
USC 2014,9-4
Colorado State 2014,10-3
Colorado 2014,2-10
Connecticut 2014,2-10
Florida State 2014,13-1
Florida 2014,7-5
South Florida 2014,4-8
Georgia Tech 2014,11-3
Georgia 2014,10-3
Hawai'i 2014,4-9
Iowa State 2014,2-10
Boise State 2014,12-2
Idaho 2014,1-10
Northwestern 2014,5-7
Indiana 2014,4-8
Notre Dame 2014,8-5
Kentucky 2014,5-7
Louisville 2014,9-4
Western Kentucky 2014,8-5
LSU 2014,8-5
Boston College 2014,7-6
UMass 2014,3-9
Maryland 2014,7-6
Michigan State 2014,11-2
Michigan 2014,5-7
Minnesota 2014,8-5
Missouri 2014,11-3
Ole Miss 2014,9-4
Duke 2014,9-4
East Carolina 2014,8-5
NC State 2014,8-5
North Carolina 2014,6-7
Wake Forest 2014,3-9
Nebraska 2014,9-4
Rutgers 2014,8-5
New Mexico State 2014,2-10
New Mexico 2014,4-8
Syracuse 2014,3-9
Bowling Green 2014,8-6
Miami (OH) 2014,2-10
Ohio State 2014,14-1
Ohio 2014,6-6
Oklahoma State 2014,7-6
Oklahoma 2014,8-5
Tulsa 2014,2-10
Oregon State 2014,5-7
Penn State 2014,7-6
Temple 2014,6-6
Pittsburgh 2014,6-7
Clemson 2014,10-3
Memphis 2014,10-3
Vanderbilt 2014,3-9
Baylor 2014,11-2
Rice 2014,8-5
Texas A&M 2014,8-5
Houston 2014,8-5
North Texas 2014,4-8
Texas 2014,6-7
BYU 2014,8-5
Utah 2014,9-4
Virginia 2014,5-7
Virginia Tech 2014,7-6
Washington 2014,8-6
Washington State 2014,3-9
Wisconsin 2014,11-3
Marshall 2014,13-1
West Virginia 2014,7-6
Fresno State 2014,6-8
Georgia Southern 2014,9-3
Old Dominion 2014,6-6
Louisiana 2014,9-4
Texas State 2014,7-5
Utah State 2014,10-4
Alabama 2014,12-2
Mississippi State 2014,10-3
Army 2014,4-8
Illinois 2014,6-7
Air Force 2014,10-3
Akron 2014,5-7
Appalachian State 2014,7-5
Arkansas State 2014,7-6
Ball State 2014,5-7
Buffalo 2014,5-6
UCF 2014,9-4
Central Michigan 2014,7-6
Cincinnati 2014,9-4
Eastern Michigan 2014,2-10
Florida Atlantic 2014,3-9
Florida International 2014,4-8
Georgia State 2014,1-11
Iowa 2014,7-6
Kansas 2014,3-9
Kansas State 2014,9-4
Kent State 2014,2-9
Louisiana Tech 2014,9-5
Miami 2014,6-7
Middle Tennessee 2014,6-6
Navy 2014,8-5
Louisiana Monroe 2014,4-8
UNLV 2014,2-11
Nevada 2014,7-6
Northern Illinois 2014,11-3
Oregon 2014,13-2
Purdue 2014,3-9
SMU 2014,1-11
Southern Mississippi 2014,3-9
South Carolina 2014,7-6
TCU 2014,12-1
Tennessee 2014,7-6
UT San Antonio 2014,4-8
UTEP 2014,7-6
Texas Tech 2014,4-8
Toledo 2014,9-4
Troy 2014,3-9
Tulane 2014,3-9
Western Michigan 2014,8-5
Wyoming 2014,4-8
Auburn 2015,7-6
South Alabama 2015,5-7
Arkansas 2015,8-5
Arizona State 2015,6-7
Arizona 2015,7-6
San Diego State 2015,11-3
San José State 2015,6-7
Stanford 2015,12-2
California 2015,8-5
UCLA 2015,8-5
USC 2015,8-6
Colorado State 2015,7-6
Colorado 2015,4-9
Connecticut 2015,6-7
Florida State 2015,10-3
Florida 2015,10-4
South Florida 2015,8-5
Georgia Tech 2015,3-9
Georgia 2015,10-3
Hawai'i 2015,3-10
Iowa State 2015,3-9
Boise State 2015,9-4
Idaho 2015,4-8
Northwestern 2015,10-3
Indiana 2015,6-7
Notre Dame 2015,10-3
Kentucky 2015,5-7
Louisville 2015,8-5
Western Kentucky 2015,12-2
LSU 2015,9-3
Boston College 2015,3-9
UMass 2015,3-9
Maryland 2015,3-9
Michigan State 2015,12-2
Michigan 2015,10-3
Minnesota 2015,6-7
Missouri 2015,5-7
Ole Miss 2015,10-3
Duke 2015,8-5
East Carolina 2015,5-7
NC State 2015,7-6
North Carolina 2015,11-3
Wake Forest 2015,3-9
Nebraska 2015,6-7
Rutgers 2015,4-8
New Mexico State 2015,3-9
New Mexico 2015,7-6
Syracuse 2015,4-8
Bowling Green 2015,10-4
Miami (OH) 2015,3-9
Ohio State 2015,12-1
Ohio 2015,8-5
Oklahoma State 2015,10-3
Oklahoma 2015,11-2
Tulsa 2015,6-7
Oregon State 2015,2-10
Penn State 2015,7-6
Temple 2015,10-4
Pittsburgh 2015,8-5
Clemson 2015,14-1
Memphis 2015,9-4
Vanderbilt 2015,4-8
Baylor 2015,10-3
Rice 2015,5-7
Texas A&M 2015,8-5
Houston 2015,13-1
North Texas 2015,1-11
Texas 2015,5-7
BYU 2015,9-4
Utah 2015,10-3
Virginia 2015,4-8
Virginia Tech 2015,7-6
Washington 2015,7-6
Washington State 2015,9-4
Wisconsin 2015,10-3
Marshall 2015,10-3
West Virginia 2015,8-5
Fresno State 2015,3-9
Georgia Southern 2015,9-4
Old Dominion 2015,5-7
Louisiana 2015,4-8
Texas State 2015,3-9
Utah State 2015,6-7
Alabama 2015,14-1
Mississippi State 2015,9-4
Army 2015,2-10
Illinois 2015,5-7
Air Force 2015,8-6
Akron 2015,8-5
Appalachian State 2015,11-2
Arkansas State 2015,9-4
Ball State 2015,3-9
Buffalo 2015,5-7
UCF 2015,0-12
Central Michigan 2015,7-6
Cincinnati 2015,7-6
Eastern Michigan 2015,1-11
Florida Atlantic 2015,3-9
Florida International 2015,5-7
Georgia State 2015,6-7
Iowa 2015,12-2
Kansas 2015,0-12
Kansas State 2015,6-7
Kent State 2015,3-9
Louisiana Tech 2015,9-4
Miami 2015,8-5
Middle Tennessee 2015,7-6
Navy 2015,11-2
Charlotte 2015,2-10
Louisiana Monroe 2015,2-11
UNLV 2015,3-9
Nevada 2015,7-6
Northern Illinois 2015,8-6
Oregon 2015,9-4
Purdue 2015,2-10
SMU 2015,2-10
Southern Mississippi 2015,9-5
South Carolina 2015,3-9
TCU 2015,11-2
Tennessee 2015,9-4
UT San Antonio 2015,3-9
UTEP 2015,5-7
Texas Tech 2015,7-6
Toledo 2015,10-2
Troy 2015,4-8
Tulane 2015,3-9
Western Michigan 2015,8-5
Wyoming 2015,2-10
Auburn 2016,8-5
South Alabama 2016,6-7
Arkansas 2016,7-6
Arizona State 2016,5-7
Arizona 2016,3-9
San Diego State 2016,11-3
San José State 2016,4-8
Stanford 2016,10-3
California 2016,5-7
UCLA 2016,4-8
USC 2016,10-3
Colorado State 2016,7-6
Colorado 2016,10-4
Connecticut 2016,3-9
Florida State 2016,10-3
Florida 2016,9-4
South Florida 2016,11-2
Georgia Tech 2016,9-4
Georgia 2016,8-5
Hawai'i 2016,7-7
Iowa State 2016,3-9
Boise State 2016,10-3
Idaho 2016,9-4
Northwestern 2016,7-6
Indiana 2016,6-7
Notre Dame 2016,4-8
Kentucky 2016,7-6
Louisville 2016,9-4
Western Kentucky 2016,11-3
LSU 2016,8-4
Boston College 2016,7-6
UMass 2016,2-10
Maryland 2016,6-7
Michigan State 2016,3-9
Michigan 2016,10-3
Minnesota 2016,9-4
Missouri 2016,4-8
Ole Miss 2016,5-7
Duke 2016,4-8
East Carolina 2016,3-9
NC State 2016,7-6
North Carolina 2016,8-5
Wake Forest 2016,7-6
Nebraska 2016,9-4
Rutgers 2016,2-10
New Mexico State 2016,3-9
New Mexico 2016,9-4
Syracuse 2016,4-8
Bowling Green 2016,4-8
Miami (OH) 2016,6-7
Ohio State 2016,11-2
Ohio 2016,8-6
Oklahoma State 2016,10-3
Oklahoma 2016,11-2
Tulsa 2016,10-3
Oregon State 2016,4-8
Penn State 2016,11-3
Temple 2016,10-4
Pittsburgh 2016,8-5
Clemson 2016,14-1
Memphis 2016,8-5
Vanderbilt 2016,6-7
Baylor 2016,7-6
Rice 2016,3-9
Texas A&M 2016,8-5
Houston 2016,9-4
North Texas 2016,5-8
Texas 2016,5-7
BYU 2016,9-4
Utah 2016,9-4
Virginia 2016,2-10
Virginia Tech 2016,10-4
Washington 2016,12-2
Washington State 2016,8-5
Wisconsin 2016,11-3
Marshall 2016,3-9
West Virginia 2016,10-3
Fresno State 2016,1-11
Georgia Southern 2016,5-7
Old Dominion 2016,10-3
Louisiana 2016,6-7
Texas State 2016,2-10
Utah State 2016,3-9
Alabama 2016,14-1
Mississippi State 2016,6-7
Army 2016,8-5
Illinois 2016,3-9
Air Force 2016,10-3
Akron 2016,5-7
Appalachian State 2016,10-3
Arkansas State 2016,8-5
Ball State 2016,4-8
Buffalo 2016,2-10
UCF 2016,6-7
Central Michigan 2016,6-7
Cincinnati 2016,4-8
Eastern Michigan 2016,7-6
Florida Atlantic 2016,3-9
Florida International 2016,4-8
Georgia State 2016,3-9
Iowa 2016,8-5
Kansas 2016,2-10
Kansas State 2016,9-4
Kent State 2016,3-9
Louisiana Tech 2016,9-5
Miami 2016,9-4
Middle Tennessee 2016,8-5
Navy 2016,9-5
Charlotte 2016,4-8
Louisiana Monroe 2016,4-8
UNLV 2016,4-8
Nevada 2016,5-7
Northern Illinois 2016,5-7
Oregon 2016,4-8
Purdue 2016,3-9
SMU 2016,5-7
